#======= TRAJECTORY BEGIN: Sample 2021 challenge quintic V3
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     0.381       5.080       0.000       0.000       0.000       0.000      12.000
#--------Waypoint:     6.350       1.651       0.000       5.969      -3.429       0.000       6.000
#--------Waypoint:    11.430       6.350       0.000      11.049       1.270       0.000       5.000
#--------Waypoint:    13.970       4.013      -1.571      13.589      -1.067      -1.571       4.000
#--------Waypoint:    11.430       1.651       3.142      11.049      -3.429       3.142       5.000
#--------Waypoint:     6.350       6.350       3.142       5.969       1.270       3.142       6.000
#--------Waypoint:     0.381       2.794       3.142       0.000      -2.286       3.142      12.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.27000  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.27000  m/s
#--------Track width:               0.76200  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.63500  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
  10.55841,    1.24267,    0.05092,    8.40495,   -1.55750,    1.06063,    0.05772,Segment:  122
  10.62043,    1.24583,    0.04960,    8.44249,   -1.49008,    1.06482,    0.05092,Segment:  123
  10.68252,    1.24891,    0.04853,    8.47990,   -1.42227,    1.06851,    0.04432,Segment:  124
  10.74465,    1.25192,    0.04772,    8.51719,   -1.35412,    1.07170,    0.03789,Segment:  125
  10.80677,    1.25489,    0.04717,    8.55436,   -1.28570,    1.07441,    0.03160,Segment:  126
  10.86885,    1.25782,    0.04688,    8.59143,   -1.21708,    1.07663,    0.02542,Segment:  127
  10.93084,    1.26072,    0.04684,    8.62839,   -1.14832,    1.07838,    0.01931,Segment:  128
  10.99269,    1.26362,    0.04708,    8.66525,   -1.07950,    1.07965,    0.01325,Segment:  129
  11.05437,    1.26653,    0.04759,    8.70202,   -1.01068,    1.08044,    0.00720,Segment:  130
  11.11583,    1.26945,   -0.03019,    8.73871,   -0.94192,    1.08077,    0.00114,Segment:  131
  11.17714,    1.26760,   -0.04857,    8.77531,   -0.87330,    1.08062,   -0.00497,Segment:  132
  11.23840,    1.26462,   -0.04926,    8.81185,   -0.80488,    1.08000,   -0.01116,Segment:  133
  11.29959,    1.26161,   -0.05023,    8.84831,   -0.73673,    1.07889,   -0.01746,Segment:  134
  11.36068,    1.25854,   -0.05149,    8.88472,   -0.66892,    1.07730,   -0.02390,Segment:  135
  11.42161,    1.25540,   -0.05306,    8.92107,   -0.60150,    1.07522,   -0.03052,Segment:  136
  11.48236,    1.25218,   -0.05494,    8.95737,   -0.53455,    1.07264,   -0.03735,Segment:  137
  11.54287,    1.24886,   -0.05716,    8.99363,   -0.46812,    1.06954,   -0.04444,Segment:  138
  11.60312,    1.24541,   -0.05972,    9.02985,   -0.40229,    1.06593,   -0.05182,Segment:  139
  11.66306,    1.24183,   -0.06266,    9.06604,   -0.33712,    1.06178,   -0.05953,Segment:  140
  11.72267,    1.23810,   -0.06599,    9.10221,   -0.27266,    1.05708,   -0.06763,Segment:  141
  11.78191,    1.23419,   -0.06975,    9.13835,   -0.20898,    1.05182,   -0.07616,Segment:  142
  11.84074,    1.23008,   -0.07395,    9.17449,   -0.14614,    1.04598,   -0.08517,Segment:  143
  11.89914,    1.22577,   -0.07862,    9.21061,   -0.08419,    1.03953,   -0.09472,Segment:  144
  11.95708,    1.22121,   -0.08379,    9.24674,   -0.02320,    1.03246,   -0.10486,Segment:  145
  12.01453,    1.21640,   -0.08950,    9.28287,    0.03678,    1.02475,   -0.11566,Segment:  146
  12.07148,    1.21130,   -0.09576,    9.31901,    0.09571,    1.01636,   -0.12719,Segment:  147
  12.12789,    1.20590,   -0.10261,    9.35517,    0.15352,    1.00727,   -0.13952,Segment:  148
  12.18376,    1.20016,   -0.11005,    9.39134,    0.21016,    0.99746,   -0.15272,Segment:  149
  12.23907,    1.19408,   -0.11810,    9.42754,    0.26559,    0.98689,   -0.16688,Segment:  150
  12.29379,    1.18762,   -0.12676,    9.46378,    0.31976,    0.97552,   -0.18207,Segment:  151
  12.34793,    1.18075,   -0.13602,    9.50004,    0.37263,    0.96333,   -0.19839,Segment:  152
